occurrenceID	inst	kingdom
http://id.luomus.fi/MY.12103889	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101501	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101537	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101513	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101517	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101577	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101569	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101413	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101401	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101465	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101441	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101437	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101481	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101733	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101749	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101717	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101793	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101777	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101761	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101825	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101817	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101625	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101669	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101657	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101637	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101697	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101709	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101701	Helsinki	incertae sedis
http://id.luomus.fi/MY.12076443	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101861	Helsinki	incertae sedis
http://id.luomus.fi/MY.12101841	Helsinki	incertae sedis
http://id.luomus.fi/MY.12076743	Helsinki	incertae sedis
http://id.luomus.fi/MY.12062911	Helsinki	incertae sedis
http://id.luomus.fi/MY.12062915	Helsinki	incertae sedis
http://id.luomus.fi/MY.12082707	Helsinki	incertae sedis
http://id.luomus.fi/MY.12082683	Helsinki	incertae sedis
http://id.luomus.fi/MY.12102593	Helsinki	incertae sedis
http://id.luomus.fi/MY.12102577	Helsinki	incertae sedis
http://id.luomus.fi/MY.11915081	Helsinki	incertae sedis
http://id.luomus.fi/MY.11915077	Helsinki	Plantae
